"Error getting county for: (33.6175775, -85.0931177): HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=33.6175775&lon=-85.0931177&format=json&accept-language=en&addressdetails=1 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x132d109d0>: Failed to resolve 'nominatim.openstreetmap.org' ([Errno 8] nodename nor servname provided, or not known)""))"
"Error getting county for: (58.3810433, -134.581786): 'county'"
"Error getting county for: (39.7001049, -105.0299665): 'county'"
"Error getting county for: (34.0084383, -118.4136894): 'county'"
"Error getting county for: (36.776002, -75.9904576): 'county'"
"Error getting county for: (39.322154, -76.5491801): 'county'"
"Error getting county for: (33.7926708, -118.1805584): 'county'"
"Error getting county for: (40.695956, -73.742734): 'county'"
"Error getting county for: (34.4158517, -118.5513492): 'county'"
"Error getting county for: (33.865587, -118.335098): 'county'"
"Error getting county for: (33.7652329, -118.1607234): 'county'"
"Error getting county for: (36.8631892, -75.9792438): 'county'"
"Error getting county for: (39.2879047, -76.5871651): 'county'"
"Error getting county for: (34.0608371, -117.7371422): 'county'"
"Error getting county for: (37.2555718, -77.4112016): 'county'"
"Error getting county for: (39.739977, -104.9492438): 'county'"
"Error getting county for: (43.6555599, -70.2645206): 'county'"
"Error getting county for: (34.0332609, -118.1303262): 'county'"
"Error getting county for: (33.814422, -118.1824386): 'county'"
"Error getting county for: (34.1506931, -118.1131828): 'county'"
"Error getting county for: (34.1866902, -118.3768819): 'county'"
"Error getting county for: (34.6746374, -118.161524): 'county'"
"Error getting county for: (40.6526006, -73.9497211): 'county'"
"Error getting county for: (34.003919, -117.930254): 'county'"
"Error getting county for: (34.6981064, -118.1366153): 'county'"
"Error getting county for: (34.57922, -118.09219): 'county'"
"Error getting county for: (33.8901255, -118.3041875): 'county'"
"Error getting county for: (34.0753675, -117.7488973): 'county'"
"Error getting county for: (37.2917694, -79.9950507): 'county'"
"Error getting county for: (34.0553813, -117.7517496): 'county'"
"Error getting county for: (34.0234202, -117.7313256): 'county'"
"Error getting county for: (34.0272273, -118.3881657): 'county'"
"Error getting county for: (34.1866071, -118.5360452): 'county'"
"Error getting county for: (34.1709941, -118.1491016): 'county'"
"Error getting county for: (39.7800518, -104.9757692): 'county'"
"Error getting county for: (10.3069385, -72.9585428): 'county'"
"Error getting county for: (38.8463356, -77.0033466): 'county'"
"Error getting county for: (36.8309413, -76.0831427): 'county'"
"Error getting county for: (39.7320992, -104.9976157): 'county'"
"Error getting county for: (39.7415237, -105.0358284): 'county'"
"Error getting county for: (39.6730722, -104.9398892): 'county'"
"Error getting county for: (33.8282003, -118.2926046): 'county'"
"Error getting county for: (37.7720664, -122.4200241): 'county'"
"Error getting county for: (38.8151484, -77.0437535): 'county'"
"Error getting county for: (39.7114575, -104.9408256): 'county'"
"Error getting county for: (39.3079776, -76.6708747): 'county'"
"Error getting county for: (33.9418474, -118.0727814): 'county'"
"Error getting county for: (39.1591674, -78.1875453): 'county'"
"Error getting county for: (33.9350462, -118.3177801): 'county'"
"Error getting county for: (40.6636325, -73.7668134): 'county'"
"Error getting county for: (33.9883743, -117.9039111): 'county'"
"Error getting county for: (38.5859399, -90.2600936): 'county'"
"Error getting county for: (33.9418208, -118.3527266): 'county'"
"Error getting county for: (39.7306482, -104.9120164): 'county'"
"Error getting county for: (40.6624365, -73.9134108): 'county'"
"Error getting county for: (34.0758021, -118.0903438): 'county'"
"Error getting county for: (38.8899389, -77.0090505): 'county'"
"Error getting county for: (34.1874769, -118.1597297): 'county'"
"Error getting county for: (33.5188594, -81.8136418): 'county'"
"Error getting county for: (40.8924829, -73.8545006): 'county'"
"Error getting county for: (34.0099645, -118.2915575): 'county'"
"Error getting county for: (39.3043648, -76.644915): 'county'"
"Error getting county for: (36.6884282, -79.8563407): 'county'"
"Error getting county for: (33.784415, -118.1981021): 'county'"
"Error getting county for: (34.0637187, -118.0113366): 'county'"
"Error getting county for: (39.2875689, -76.6243563): 'county'"
"Error getting county for: (34.1956642, -118.337588): 'county'"
"Error getting county for: (36.8474278, -75.9769842): 'county'"
"Error getting county for: (34.0508618, -118.2642017): 'county'"
"Error getting county for: (33.8082665, -118.2021983): 'county'"
"Error getting county for: (38.8923272, -77.0068194): 'county'"
"Error getting county for: (40.8299863, -73.9140013): 'county'"
"Error getting county for: (34.2892233, -118.4383411): 'county'"
"Error getting county for: (34.0980643, -118.3615641): 'county'"
"Error getting county for: (34.0291312, -118.2980812): 'county'"
"Error getting county for: (34.5980209, -117.826773): 'county'"
"Error getting county for: (38.8776018, -77.0173133): 'county'"
"Error getting county for: (39.718153, -105.0396997): 'county'"
"Error getting county for: (39.3108997, -76.5928393): 'county'"
"Error getting county for: (34.051522, -118.129807): 'county'"
"Error getting county for: (39.6732798, -105.0249917): 'county'"
"Error getting county for: (38.8455103, -76.9857761): 'county'"
"Error getting county for: (39.710821, -105.0050173): 'county'"
"Error getting county for: (33.9733339, -118.0453354): 'county'"
"Error getting county for: (39.7392364, -104.984862): 'county'"
"Error getting county for: (34.1412654, -117.9179433): 'county'"
"Error getting county for: (34.2413266, -118.4322047): 'county'"
"Error getting county for: (40.696274, -73.9179192): 'county'"
"Error getting county for: (34.0099809, -118.4272718): 'county'"
"Error getting county for: (34.1333126, -117.8615081): 'county'"
"Error getting county for: (39.3512541, -76.5463621): 'county'"
"Error getting county for: (34.587948, -118.674879): 'county'"
"Error getting county for: (38.9089428, -77.0046839): 'county'"
"Error getting county for: (33.8389715, -118.3907513): 'county'"
"Error getting county for: (38.9181133, -77.0319607): 'county'"
"Error getting county for: (39.7904842, -104.8286813): 'county'"
"Error getting county for: (33.8036284, -118.1714192): 'county'"
"Error getting county for: (33.7690164, -118.191604): 'county'"
"Error getting county for: (34.0811213, -118.1778495): 'county'"
"Error getting county for: (34.3721009, -118.570025): 'county'"
"Error getting county for: (34.036216, -118.3218429): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (33.9996171, -118.0684522): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (38.8420938, -76.98818): 'county'"
"Error getting county for: (43.7247285, -70.244263): 'county'"
"Error getting county for: (37.7792588, -122.4193286): 'county'"
"Error getting county for: (34.0686208, -117.9389526): 'county'"
"Error getting county for: (34.1476507, -118.144155): 'county'"
"Error getting county for: (38.6280278, -90.1910154): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (37.7792588, -122.4193286): 'county'"
"Error getting county for: (34.0536909, -118.242766): 'county'"
"Error getting county for: (34.6981064, -118.1366153): 'county'"
"Error getting county for: (34.1338751, -117.9056046): 'county'"
"Error getting county for: (39.2908816, -76.610759): 'county'"
"Error getting county for: (37.5139926, -77.4032311): 'county'"
"Error getting county for: (34.5671076, -118.0064971): 'county'"
"Error getting county for: (37.7937147, -79.9888757): 'county'"
"Error getting county for: (38.7160869, -90.2414083): 'county'"
"Error getting county for: (34.2278023, -118.4516606): 'county'"
"Error getting county for: (34.1067913, -117.8902469): 'county'"
"Error getting county for: (34.1130264, -118.2531439): 'county'"
"Error getting county for: (38.9471205, -77.023811): 'county'"
"Error getting county for: (40.8498932, -73.8954744): 'county'"
"Error getting county for: (37.7641892, -122.3925166): 'county'"
"Error getting county for: (37.7641892, -122.3925166): 'county'"
"Error getting county for: (37.296088, -77.326003): 'county'"
"Error getting county for: (34.6893719, -118.1635872): 'county'"
